Date,TimeStamp,IsCommanded,Channel1,Channel2,Channel3,Channel4,utc_time,local_time
2025-01-16 20:31:08.152225,300.999,False,0.210564,6.9e-05,0.0,0.0,2025-01-16 20:37:04.182059,2025-01-16 15:37:04.182059
2025-01-16 20:31:08.152225,300.999,True,1.037672,1.072032,1.10646,1.098542,2025-01-16 20:37:04.182059,2025-01-16 15:37:04.182059
2025-01-16 20:31:09.151800,301.999,False,0.285825,6.9e-05,0.0,0.0,2025-01-16 20:37:05.181634,2025-01-16 15:37:05.181634
2025-01-16 20:31:09.151800,301.999,True,1.037672,1.071825,1.106322,1.098748,2025-01-16 20:37:05.181634,2025-01-16 15:37:05.181634
2025-01-16 20:31:10.151825,302.999,False,0.757907,6.9e-05,0.0,0.0,2025-01-16 20:37:06.181659,2025-01-16 15:37:06.181659
2025-01-16 20:31:10.151900,302.999,True,1.037603,1.072032,1.106529,1.098817,2025-01-16 20:37:06.181734,2025-01-16 15:37:06.181734
2025-01-16 20:31:11.152075,303.999,False,1.038843,6.9e-05,0.0,0.0,2025-01-16 20:37:07.181909,2025-01-16 15:37:07.181909
2025-01-16 20:31:11.152100,303.999,True,1.037534,1.072032,1.106391,1.098748,2025-01-16 20:37:07.181934,2025-01-16 15:37:07.181934
2025-01-16 20:31:12.151725,304.999,False,1.195767,6.9e-05,0.0,0.0,2025-01-16 20:37:08.181559,2025-01-16 15:37:08.181559
2025-01-16 20:31:12.151750,304.999,True,1.037741,1.071894,1.10646,1.09861,2025-01-16 20:37:08.181584,2025-01-16 15:37:08.181584
2025-01-16 20:31:13.151750,305.999,False,1.419345,6.9e-05,0.0,0.0,2025-01-16 20:37:09.181584,2025-01-16 15:37:09.181584
2025-01-16 20:31:13.151750,305.999,True,1.037603,1.071894,1.106391,1.098542,2025-01-16 20:37:09.181584,2025-01-16 15:37:09.181584
2025-01-16 20:31:14.151800,306.999,False,1.718804,6.9e-05,0.0,0.0,2025-01-16 20:37:10.181634,2025-01-16 15:37:10.181634
2025-01-16 20:31:14.151800,306.999,True,1.037534,1.071687,1.106254,1.098542,2025-01-16 20:37:10.181634,2025-01-16 15:37:10.181634
